127.0.0.1, 2016-10-06 14:34:52, POST, /admin/default/check_version, HTTP/1.1, 200, 0.351000
127.0.0.1, 2016-10-06 14:34:53, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-06 14:35:14, POST, /admin/default/site, HTTP/1.1, 200, 0.054000
127.0.0.1, 2016-10-06 14:35:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 14:35:31, POST, /admin/default/site, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-10-06 14:35:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-06 14:35:46, POST, /admin/default/site, HTTP/1.1, 303, 0.574000
127.0.0.1, 2016-10-06 14:35:46, GET, /admin/default/design/Admin_Panel, HTTP/1.1, 200, 0.153000
127.0.0.1, 2016-10-06 14:35:46, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-06 14:35:46, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-06 14:35:46, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 14:35:46, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-06 14:35:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-06 14:35:50, GET, /admin/default/peek/Admin_Panel/controllers/appadmin.py, HTTP/1.1, 200, 0.156000
127.0.0.1, 2016-10-06 14:35:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 14:36:04, GET, /admin/default/design/Admin_Panel, HTTP/1.1, 200, 0.105000
127.0.0.1, 2016-10-06 14:36:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-10-06 14:36:08, GET, /admin/default/peek/Admin_Panel/controllers/appadmin.py, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-10-06 14:36:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 14:36:10, GET, /admin/default/design/Admin_Panel, HTTP/1.1, 200, 0.123000
127.0.0.1, 2016-10-06 14:36:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-06 14:36:15, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2016-10-06 14:36:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-10-06 14:36:17, GET, /admin/default/site, HTTP/1.1, 200, 0.054000
127.0.0.1, 2016-10-06 14:36:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
